64;524;166;185;157
65;524;208;227;197
66;524;175;195;167
67;524;137;160;131
68;524;119;144;115
69;524;77;103;74
70;524;68;98;70
71;524;66;99;70
72;524;59;93;66
73;524;59;93;66
74;524;56;92;64
75;524;54;90;62
76;524;53;89;61
77;524;52;88;60
78;524;51;85;58
79;524;48;82;55
80;524;50;82;58
81;524;40;72;48
82;524;41;75;50
83;524;41;75;50
84;524;39;73;49
85;524;74;108;84
86;524;44;76;55
87;524;34;63;43
88;524;32;59;40
89;524;25;52;33
90;524;23;50;31
91;524;31;58;39
92;524;32;61;41
93;524;28;60;39
94;524;38;71;50
95;524;32;65;44
96;524;28;59;41
97;524;29;60;42
98;524;34;67;48
99;524;34;67;48
100;524;27;60;39
101;524;26;59;38
102;524;30;63;42
103;524;29;62;41
104;524;26;61;39
105;524;21;56;34
106;524;23;58;36
107;524;21;56;34
108;524;22;57;33
109;524;25;60;36
110;524;21;56;32
111;524;24;59;35
112;524;24;59;35
113;524;24;59;35
114;524;24;59;35
115;524;24;59;35
116;524;23;58;34
117;524;23;58;34
118;524;23;58;34
119;524;23;58;34
120;524;21;56;32
121;524;21;56;32
122;524;21;56;32
123;524;22;57;33
124;524;22;57;33
125;524;22;57;33
126;524;22;57;33
127;524;23;58;34
128;524;24;59;35
129;524;24;59;35
130;524;25;60;36
131;524;25;60;36
132;524;26;61;37
133;524;27;62;38
134;524;29;63;38
135;524;31;65;40
136;524;31;65;40
137;524;32;66;41
138;524;34;68;41
139;524;35;69;42
140;524;36;71;41
141;524;38;73;43
142;524;40;75;43
143;524;42;77;45
144;524;43;78;46
145;524;45;80;48
146;524;46;79;48
147;524;47;80;49
148;524;52;85;54
149;524;54;87;56
150;524;56;87;56
151;524;57;88;57
152;524;62;93;61
153;524;62;93;61
154;524;65;94;63
155;524;67;96;65
156;524;67;96;65
157;524;68;97;66
158;524;72;99;68
159;524;74;101;70
160;524;78;103;73
161;524;81;106;76
162;524;79;104;74
163;524;80;105;75
164;524;86;109;80
165;524;88;111;82
166;524;91;111;83
167;524;95;115;87
168;524;96;115;87
169;524;95;114;86
170;524;96;115;87
171;524;98;117;89
172;524;100;116;89
173;524;99;115;88
174;524;102;118;91
175;524;107;123;96
176;524;109;125;98
177;524;106;122;95
178;524;106;122;95
179;524;109;125;98
180;524;111;125;99
181;524;108;122;96
182;524;108;122;96
183;524;109;123;97
184;524;107;120;94
185;524;107;120;94
186;524;107;120;94
187;524;108;121;95
188;524;111;121;96
189;524;111;121;96
190;524;110;120;95
191;524;109;119;94
192;524;108;116;92
193;524;107;115;91
194;524;113;121;97
195;524;112;120;96
196;524;117;125;101
197;524;69;77;53
198;524;120;125;102
199;524;120;125;102
200;524;113;119;93
201;524;124;130;104
202;524;82;86;61
203;524;91;95;70
204;524;120;124;99
205;524;104;108;83
206;524;107;109;85
207;524;109;111;87
208;524;109;111;89
209;524;107;109;87
210;524;106;111;88
211;524;100;110;86
212;524;100;112;88
213;524;90;108;84
214;524;80;99;77
215;524;64;88;66
216;524;67;90;70
217;524;47;70;50
218;524;54;73;54
219;524;57;72;53
220;524;77;89;69
221;524;76;84;61
222;524;66;69;48
223;524;79;81;57
224;524;102;103;72
225;524;71;70;39
226;524;75;72;41
227;524;77;74;43
228;524;73;68;38
229;524;73;68;38
230;524;74;68;36
231;524;85;79;47
232;524;80;71;38
233;524;83;74;41
234;524;84;75;42
235;524;83;74;41
236;524;83;75;39
237;524;82;74;38
238;524;80;72;36
239;524;80;72;36
240;524;80;70;35
241;524;79;69;34
242;524;80;67;33
243;524;80;67;33
244;524;78;65;31
245;524;76;63;29
246;524;78;63;30
247;524;80;65;32
248;524;79;63;30
249;524;80;64;31
250;524;79;63;30
251;524;77;61;28
252;524;76;60;27
253;524;75;59;26
254;524;74;58;25
255;524;73;57;24
256;524;68;53;22
257;524;68;53;22
258;524;66;53;21
259;524;68;55;23
260;524;67;53;24
261;524;67;53;24
262;524;69;55;28
263;524;68;54;27
264;524;66;55;27
265;524;65;54;26
266;524;64;53;25
267;524;63;52;24
268;524;60;49;21
269;524;59;48;20
270;524;60;49;21
271;524;57;46;18
272;524;60;49;21
273;524;63;52;24
274;524;65;53;27
275;524;53;43;16
276;524;55;45;20
277;524;55;48;22
278;524;57;46;24
279;524;54;44;19
280;524;50;40;15
281;524;49;37;13
282;524;53;39;13
283;524;58;42;16
284;524;62;42;15
285;524;68;47;18
286;524;73;52;21
287;524;73;53;20
288;524;83;63;28
289;524;82;62;25
290;524;82;62;25
291;524;83;63;26
292;524;85;63;24
293;524;86;64;25
294;524;87;65;24
295;524;88;66;25
296;524;91;69;28
297;524;94;72;31
298;524;93;72;29
299;524;91;70;27
300;524;94;73;30
301;524;98;77;34
302;524;97;74;32
303;524;89;68;25
304;524;90;71;29
305;524;92;73;31
306;524;91;72;30
307;524;92;73;31
308;524;92;73;33
309;524;91;72;32
310;524;94;75;35
311;524;92;74;34
312;524;90;72;34
313;524;89;74;35
314;524;88;72;36
315;524;85;71;34
316;524;84;70;35
317;524;84;70;35
318;524;82;69;35
319;524;78;68;33
320;524;79;68;36
321;524;77;68;37
322;524;75;66;37
323;524;73;64;35
324;524;73;63;36
325;524;74;64;37
326;524;75;65;38
327;524;76;66;39
328;524;74;67;39
329;524;64;57;29
330;524;62;57;28
331;524;64;59;30
332;524;60;54;28
333;524;58;54;29
334;524;57;52;30
335;524;49;47;26
336;524;48;46;25
337;524;48;46;25
338;524;48;45;26
339;524;48;45;26
340;524;49;46;27
